Protein,BINCODE,NAME,mean
eucgr.g02852.1.p,_16.2.1.1_,'secondary metabolism.phenylpropanoids.lignin biosynthesis.PAL',6.13016416387895e-13
eucgr.g02857.2.p,_34.18.1_,'transport.unspecified anions.arsenite-transporting ATPase',3.71099705726497e-12
eucgr.g02866.1.p,_11.5.3_,'lipid metabolism.glyceral metabolism.FAD-dependent glycerol-3-phosphate dehydrogenase',1.63516467798654e-12
eucgr.g02873.1.p,_29.5.5_,'protein.degradation.serine protease',2.72967447221741e-12
eucgr.g02885.1.p,_29.3.4.3_,'protein.targeting.secretory pathway.vacuole',8.54487007289208e-13
eucgr.g02896.1.p,"_29.7.5_, _29.7.8_","'protein.glycosylation.alpha-1,3-mannosyl-glycoprotein-beta-1,2-N-acetylglucosaminyltransferase(GnTI)', 'protein.glycosylation.alpha-1,6-mannosyl-glycoprotein-beta-1,2-N-acetylglucosaminyltransferase(GnTII)'",3.1837928693385e-12
eucgr.g02904.1.p,_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',1.12939684629144e-11
eucgr.g02915.4.p,_30.5_,'signalling.G-proteins',3.72196963372184e-12
eucgr.g02917.1.p,_29.2.1.2.1.515_,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S15A',9.47115849407218e-12
eucgr.g02921.1.p,_10.1.5_,'cell wall.precursor synthesis.UXS',4.53662268936356e-12
eucgr.g02931.1.p,_11.8.7_,"'lipid metabolism.'exotics' (steroids, squalene etc).trans-2-enoyl-CoA reductase (NADPH)'",1.61438889456743e-13
eucgr.g02956.1.p,_35.1_,'not assigned.no ontology',1.02224831029912e-11
eucgr.g02957.2.p,_26.8_,"'misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases'",1.03333556769319e-11
eucgr.g02959.1.p,_26.8_,"'misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases'",5.04283461767899e-12
eucgr.g02987.1.p,_29.2.3_,'protein.synthesis.initiation',4.97798524407657e-12
eucgr.g02988.4.p,_10.1.1.1_,'cell wall.precursor synthesis.NDP sugar pyrophosphorylase.GDP mannose',3.2159907665674e-12
eucgr.g02989.1.p,_35.1_,'not assigned.no ontology',5.23754398813903e-12
eucgr.g03026.1.p,_23.1.2.8_,'nucleotide metabolism.synthesis.purine.SAICAR lyase',2.15474254381739e-12
eucgr.g03037.2.p,_34.19.1_,'transport.Major Intrinsic Proteins.PIP',4.39985914319457e-12
eucgr.g03042.1.p,_29.2.1.2.2.80_,'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.P0',2.90159147246917e-11
eucgr.g03056.2.p,_30.4.4_,'signalling.phosphinositides.phosphoinositide phospholipase C',1.74449784734241e-12
eucgr.g03060.1.p,_1.1.1.1_,'PS.lightreaction.photosystem II.LHC-II',6.59842442537459e-10
eucgr.g03075.1.p,_31.4_,'cell.vesicle transport',1.03239469591288e-11
eucgr.g03085.1.p,_29.2.3_,'protein.synthesis.initiation',1.87039857399922e-12
eucgr.g03088.2.p,_15.2_,"'metal handling.binding, chelation and storage'",4.05946240284187e-12
eucgr.g03100.1.p,_11.1.1_,'lipid metabolism.FA synthesis and FA elongation.Acetyl CoA Carboxylation',1.36499599041992e-12
eucgr.g03107.1.p,_29.3.4.99_,'protein.targeting.secretory pathway.unspecified',3.810418937812e-12
eucgr.g03125.1.p,_19.7_,'tetrapyrrole synthesis.uroporphyrinogen decarboxylase',4.54912756938812e-12
eucgr.g03128.2.p,_3.8.2_,'minor CHO metabolism.galactose.alpha-galactosidases',3.35236348151146e-12
eucgr.g03131.1.p,_29.2.1.2.1.26_,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S26',1.29570220023333e-12
eucgr.g03132.1.p,_21.6_,'redox.dismutases and catalases',2.09862607378512e-11
eucgr.g03138.3.p,_16.8.2_,'secondary metabolism.flavonoids.chalcones',5.55490059287142e-12
eucgr.g03148.1.p,_35.2_,'not assigned.unknown',1.31764289987864e-11
eucgr.g03151.1.p,_17.2_,'hormone metabolism.auxin',6.54675993511411e-13
eucgr.g03152.1.p,_35.2_,'not assigned.unknown',2.98628711422009e-12
eucgr.g03166.1.p,_9.5_,'mitochondrial electron transport / ATP synthesis.cytochrome c reductase',7.48798133131661e-12
eucgr.g03169.1.p,_26.1_,'misc.misc2',1.36472892096194e-12
eucgr.g03178.3.p,_29.5.11.4.2_,'protein.degradation.ubiquitin.E3.RING',2.70668441175112e-12
eucgr.g03192.1.p,"_29.2.4_, _31.99_","'protein.synthesis.elongation', 'cell.unspecified'",1.4058919839634e-12
eucgr.g03205.2.p,_35.1.42_,'not assigned.no ontology.proline rich family',1.09578371225248e-11
eucgr.g03215.3.p,_31.3.1_,'cell.cycle.peptidylprolyl isomerase',2.40145564899363e-12
eucgr.g03216.1.p,_9.1.1_,'mitochondrial electron transport / ATP synthesis.NADH-DH.complex I',8.33506944965972e-12
eucgr.g03219.1.p,_29.4_,'protein.postranslational modification',7.37123435970272e-13
eucgr.g03224.2.p,_21.1_,'redox.thioredoxin',1.58077102364792e-12
eucgr.g03227.1.p,"_27.3.67_, _27.3.99_","'RNA.regulation of transcription.putative transcription regulator', 'RNA.regulation of transcription.unclassified'",2.22563927824257e-12
eucgr.g03255.1.p,_17.1.1.1.11_,'hormone metabolism.abscisic acid.synthesis-degradation.synthesis.short chain alcohol dehydrogenmase (ABA2)',4.30914165074075e-12
eucgr.g03281.1.p,_35.1_,'not assigned.no ontology',3.45619213147212e-12
eucgr.g03299.1.p,_29.5.5_,'protein.degradation.serine protease',2.82312644409339e-12
eucgr.g03331.1.p,_35.2_,'not assigned.unknown',9.73999146681462e-11
eucgr.g03332.1.p,_29.5.5_,'protein.degradation.serine protease',2.13147620752871e-12
eucgr.g03333.1.p,_29.2.1.1.1.2.1_,'protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L1',2.10989365598954e-11
eucgr.g03335.1.p,_29.2.1.99.99_,'protein.synthesis.ribosomal protein.unknown.unknown',3.92258687867131e-12
eucgr.g03342.3.p,_26.11.1_,'misc.alcohol dehydrogenases.cinnamyl alcohol dehydrogenase',8.28692541038681e-13
eucgr.g03353.1.p,_26.11.1_,'misc.alcohol dehydrogenases.cinnamyl alcohol dehydrogenase',1.73260705541506e-12
eucgr.g03374.2.p,_16.1.4.10_,'secondary metabolism.isoprenoids.carotenoids.carotenoid cleavage dioxygenase',2.42754843844163e-11
eucgr.g03387.1.p,"_34.8_, _34.14_","'transport.metabolite transporters at the envelope membrane', 'transport.unspecified cations'",4.93584094046955e-11
eucgr.g03388.1.p,"_34.8_, _34.14_","'transport.metabolite transporters at the envelope membrane', 'transport.unspecified cations'",4.90960405617591e-11
eucgr.g03390.1.p,_35.2_,'not assigned.unknown',1.31604613750791e-11
eucgr.g03401.1.p,_29.2.1.2.2.6_,'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L6',7.88234606151263e-12
eucgr.g03412.1.p,_8.1.2_,'TCA / org transformation.TCA.CS',1.9284870696396e-11
eucgr.h00026.1.p,_27.4_,'RNA.RNA binding',8.20919035180045e-12
eucgr.h00041.1.p,_2.1.1.1_,'major CHO metabolism.synthesis.sucrose.SPS',3.79125248693778e-12
eucgr.h00043.1.p,_29.1.10_,'protein.aa activation.methionine-tRNA ligase',3.74936094635513e-12
eucgr.h00058.1.p,_29.5.11.20_,'protein.degradation.ubiquitin.proteasom',3.9815678792382e-12
eucgr.h00059.1.p,_21.2_,'redox.ascorbate and glutathione',2.52203011686491e-12
eucgr.h00072.3.p,_27.2_,'RNA.transcription',3.59735439180218e-12
eucgr.h00078.1.p,_29.3.2_,'protein.targeting.mitochondria',1.47242703146458e-11
eucgr.h00087.1.p,_16.8.2.1_,'secondary metabolism.flavonoids.chalcones.naringenin-chalcone synthase',1.35160602363286e-12
eucgr.h00090.1.p,_13.2.4.1_,'amino acid metabolism.degradation.branched chain group.shared',2.37327846734623e-11
eucgr.h00092.2.p,_34.15_,'transport.potassium',6.24824674777193e-12
eucgr.h00094.2.p,_35.1_,'not assigned.no ontology',1.18449369725893e-12
eucgr.h00128.1.p,_27.4_,'RNA.RNA binding',2.12106367734115e-12
eucgr.h00132.1.p,"_21.2_, _21.2.1_","'redox.ascorbate and glutathione', 'redox.ascorbate and glutathione.ascorbate'",3.92587602303923e-11
eucgr.h00136.1.p,_27.4_,'RNA.RNA binding',2.85563601504384e-12
eucgr.h00143.1.p,_8.1.6_,'TCA / org transformation.TCA.succinyl-CoA ligase',1.83112950338759e-11
eucgr.h00144.2.p,_31.1_,'cell.organisation',2.22021028475854e-10
eucgr.h00146.2.p,_29.2.1.2.2.14_,'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L14',1.01416455571414e-11
eucgr.h00173.1.p,_9.3_,'mitochondrial electron transport / ATP synthesis.electron transfer flavoprotein',6.81853635391555e-13
eucgr.h00182.3.p,_35.1_,'not assigned.no ontology',4.62424563910172e-12
eucgr.h00192.2.p,_35.1_,'not assigned.no ontology',2.18268850783099e-12
eucgr.h00199.1.p,_35.2_,'not assigned.unknown',6.87257432288949e-11
eucgr.h00200.1.p,_35.2_,'not assigned.unknown',6.23999900689139e-12
eucgr.h00201.1.p,_35.2_,'not assigned.unknown',3.7378639369257e-11
eucgr.h00202.1.p,_35.2_,'not assigned.unknown',3.10960153420048e-12
eucgr.h00204.1.p,_35.2_,'not assigned.unknown',4.13691092998245e-12
eucgr.h00205.1.p,_35.2_,'not assigned.unknown',5.37301577228973e-12
eucgr.h00206.1.p,_35.2_,'not assigned.unknown',3.05478008239393e-11
eucgr.h00218.1.p,_35.1_,'not assigned.no ontology',6.46481403109413e-12
eucgr.h00220.2.p,_35.2_,'not assigned.unknown',6.25597571273243e-12
eucgr.h00222.2.p,_29.5_,'protein.degradation',1.48060347238441e-12
eucgr.h00243.2.p,_29.5.5_,'protein.degradation.serine protease',1.68166679071906e-13
eucgr.h00245.2.p,_33.2_,'development.late embryogenesis abundant',1.37855784874944e-11
eucgr.h00256.3.p,_26.7_,"'misc.oxidases - copper, flavone etc'",2.90103670873025e-12
eucgr.h00257.1.p,_26.7_,"'misc.oxidases - copper, flavone etc'",9.38222983779417e-12
eucgr.h00261.2.p,"_16.5.1.1.1.8_, _17.8.1_, _17.8.1.1.4_, _17.8.1.1.5_, _26.2_","'secondary metabolism.sulfur-containing.glucosinolates.synthesis.aliphatic.UDP-glycosyltransferase', 'hormone metabolism.salicylic acid.synthesis-degradation', 'hormone metabolism.salicylic acid.synthesis-degradation.synthesis.SA glucosyltransferase ether bond making SAG', 'hormone metabolism.salicylic acid.synthesis-degradation.synthesis.SA glucosyltransferase ester and ether bond making SGE, SAG', 'misc.UDP glucosyl and glucoronyl transferases'",4.47579844258531e-13
eucgr.h00279.1.p,"_17.8.1.1.4_, _17.8.1.1.5_","'hormone metabolism.salicylic acid.synthesis-degradation.synthesis.SA glucosyltransferase ether bond making SAG', 'hormone metabolism.salicylic acid.synthesis-degradation.synthesis.SA glucosyltransferase ester and ether bond making SGE, SAG'",1.03451370403889e-11
eucgr.h00286.1.p,_29.2.1.2.2.5_,'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L5',1.18417593393164e-11
eucgr.h00328.1.p,_20.1_,'stress.biotic',7.53887984066075e-13
eucgr.h00353.1.p,_26.6_,'misc.O-methyl transferases',1.34771626845751e-12
eucgr.h00372.2.p,_35.2_,'not assigned.unknown',1.3863452985499e-12
eucgr.h00431.1.p,_35.2_,'not assigned.unknown',8.14718954483809e-12
eucgr.h00462.1.p,_29.2.3_,'protein.synthesis.initiation',2.45036077755408e-12
eucgr.h00477.1.p,_17.2.3_,'hormone metabolism.auxin.induced-regulated-responsive-activated',9.12202926150609e-13
eucgr.h00480.1.p,_17.2.3_,'hormone metabolism.auxin.induced-regulated-responsive-activated',1.22385555054109e-12
eucgr.h00481.1.p,_17.2.3_,'hormone metabolism.auxin.induced-regulated-responsive-activated',2.27879173504838e-11
eucgr.h00494.1.p,_2.2.2.3_,'major CHO metabolism.degradation.starch.glucan water dikinase',4.42235804568461e-12
eucgr.h00506.1.p,_4.2.14_,'glycolysis.plastid branch.pyruvate kinase (PK)',1.02142818444399e-12
eucgr.h00578.1.p,_16.8.2_,'secondary metabolism.flavonoids.chalcones',3.53284356870106e-12
eucgr.h00583.1.p,_16.8.2_,'secondary metabolism.flavonoids.chalcones',1.45861941526958e-12
eucgr.h00584.1.p,_16.8.2_,'secondary metabolism.flavonoids.chalcones',1.49008635519443e-12
eucgr.h00595.1.p,_13.1.1.1.1_,'amino acid metabolism.synthesis.central amino acid metabolism.GABA.Glutamate decarboxylase',1.41071441806889e-11
eucgr.h00596.1.p,_17.5.1_,'hormone metabolism.ethylene.synthesis-degradation',3.5564511243228e-12
eucgr.h00618.1.p,"_27.3.50_, _27.3.67_","'RNA.regulation of transcription.General Transcription', 'RNA.regulation of transcription.putative transcription regulator'",2.74345380038215e-11
eucgr.h00652.1.p,_34.13_,'transport.peptides and oligopeptides',3.16381283801744e-12
eucgr.h00663.2.p,_35.2_,'not assigned.unknown',4.83385709830954e-12
eucgr.h00675.1.p,_35.2_,'not assigned.unknown',3.04160380740232e-12
eucgr.h00690.2.p,_35.1_,'not assigned.no ontology',3.05308508927512e-12
eucgr.h00716.7.p,_29.5.5_,'protein.degradation.serine protease',4.75356549838758e-12
eucgr.h00726.1.p,_35.2_,'not assigned.unknown',9.76472178920695e-12
eucgr.h00739.1.p,_17.2.3_,'hormone metabolism.auxin.induced-regulated-responsive-activated',2.12199682724943e-12
eucgr.h00743.1.p,_29.2.1.2.2.32_,'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L32',9.3561087380561e-13
eucgr.h00751.1.p,_31.3.1_,'cell.cycle.peptidylprolyl isomerase',4.57323712886285e-12
eucgr.h00789.1.p,_29.5.11.1_,'protein.degradation.ubiquitin.ubiquitin',3.44043037883838e-12
eucgr.h00797.2.p,_35.2_,'not assigned.unknown',2.10133279980862e-12
eucgr.h00800.1.p,_21.2_,'redox.ascorbate and glutathione',6.78556420501601e-13
eucgr.h00802.2.p,_35.2_,'not assigned.unknown',1.09589742650902e-11
eucgr.h00803.1.p,_31.4_,'cell.vesicle transport',2.77309926437486e-12
eucgr.h00817.1.p,_29.5.11.20_,'protein.degradation.ubiquitin.proteasom',2.78164838275943e-12
eucgr.h00825.2.p,_26.28_,'misc.GDSL-motif lipase',8.8649837037557e-13
eucgr.h00828.1.p,_1.1.2.2_,'PS.lightreaction.photosystem I.PSI polypeptide subunits',2.04609432228375e-12
eucgr.h00829.1.p,_35.2_,'not assigned.unknown',3.17342443857116e-12
eucgr.h00830.1.p,_21.4_,'redox.glutaredoxins',1.90770320615137e-12
eucgr.h00849.1.p,"_13.2.4.5_, _13.2.6.3_, _16.1.2.1_","'amino acid metabolism.degradation.branched chain group.isoleucine', 'amino acid metabolism.degradation.aromatic aa.tryptophan', 'secondary metabolism.isoprenoids.mevalonate pathway.acetyl-CoA C-acyltransferase'",8.94435248469519e-12
eucgr.h00855.2.p,_23.3.3_,'nucleotide metabolism.salvage.NUDIX hydrolases',1.27417453433434e-12
eucgr.h00857.1.p,_23.3.3_,'nucleotide metabolism.salvage.NUDIX hydrolases',1.83406253093994e-12
eucgr.h00878.1.p,_35.2_,'not assigned.unknown',1.57196072224495e-12
eucgr.h00884.1.p,_35.1_,'not assigned.no ontology',1.49538327650309e-12
eucgr.h00894.2.p,_35.2_,'not assigned.unknown',2.51551169305857e-12
eucgr.h00897.1.p,_35.2_,'not assigned.unknown',1.3410319748701e-12
eucgr.h00906.1.p,_3.1.1.1_,'minor CHO metabolism.raffinose family.galactinol synthases.known',1.84524914874764e-12
eucgr.h00913.2.p,_11.1.9_,'lipid metabolism.FA synthesis and FA elongation.long chain fatty acid CoA ligase',9.50771874962294e-13
eucgr.h00916.2.p,_27.1.2_,'RNA.processing.RNA helicase',9.62663576698467e-13
eucgr.h00955.2.p,_35.2_,'not assigned.unknown',1.51092668933111e-12
eucgr.h00972.1.p,_20.2.1_,'stress.abiotic.heat',2.0478642016719e-12
eucgr.h00986.1.p,_35.2_,'not assigned.unknown',5.8408527496497e-13
eucgr.h00997.1.p,_3.1.3_,'minor CHO metabolism.raffinose family.stachyose synthases',1.01459446165899e-12
eucgr.h01006.1.p,_29.5.5_,'protein.degradation.serine protease',1.68619293557618e-11
eucgr.h01013.1.p,_35.2_,'not assigned.unknown',3.53087234268263e-12
eucgr.h01014.2.p,_35.2_,'not assigned.unknown',1.07082303733989e-12
eucgr.h01015.2.p,_35.2_,'not assigned.unknown',7.3917825492706e-12
eucgr.h01016.1.p,_1.3_,'PS.calvin cycle',8.95465391975321e-12
eucgr.h01051.2.p,_30.5_,'signalling.G-proteins',1.93665601679913e-11
eucgr.h01081.1.p,_8.1.8_,'TCA / org transformation.TCA.fumarase',5.76960971108609e-12
eucgr.h01094.1.p,_2.2.1.5_,'major CHO metabolism.degradation.sucrose.Susy',1.29625042874076e-11
eucgr.h01104.1.p,_35.2_,'not assigned.unknown',1.23608252908136e-13
eucgr.h01111.5.p,_27.1_,'RNA.processing',2.68262523844338e-12
eucgr.h01119.1.p,_26.10_,'misc.cytochrome P450',4.82242419630047e-13
eucgr.h01151.1.p,_20.2.99_,'stress.abiotic.unspecified',6.89615653047525e-12
eucgr.h01158.1.p,_29.3.3_,'protein.targeting.chloroplast',1.28346178771129e-12
eucgr.h01162.2.p,_35.1.5_,'not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein',2.92310426188854e-12
eucgr.h01167.1.p,_26.9_,'misc.glutathione S transferases',1.36059319493117e-11
eucgr.h01172.1.p,_26.9_,'misc.glutathione S transferases',1.76799190200413e-10
eucgr.h01175.1.p,_26.9_,'misc.glutathione S transferases',1.62021584515531e-12
eucgr.h01176.2.p,_26.9_,'misc.glutathione S transferases',3.48746023895161e-11
eucgr.h01195.2.p,_29.2.5_,'protein.synthesis.release',2.20470506961796e-12
eucgr.h01211.1.p,_26.7_,"'misc.oxidases - copper, flavone etc'",2.23432898656999e-12
eucgr.h01253.1.p,_29.5.11.20_,'protein.degradation.ubiquitin.proteasom',8.78677287002156e-12
eucgr.h01287.4.p,_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',3.27445372387581e-12
eucgr.h01344.1.p,"_15.2_, _20.2.99_","'metal handling.binding, chelation and storage', 'stress.abiotic.unspecified'",7.73794394193971e-13
eucgr.h01345.1.p,_29.1.17_,'protein.aa activation.glutamate-tRNA ligase',2.12057978576061e-12
eucgr.h01352.1.p,_27.1.2_,'RNA.processing.RNA helicase',1.07041730376769e-11
eucgr.h01373.1.p,_16.1.4.7_,'secondary metabolism.isoprenoids.carotenoids.carotenoid epsilon ring hydroxylase',1.18881514407611e-12
eucgr.h01393.1.p,_16.1.2.7_,'secondary metabolism.isoprenoids.mevalonate pathway.isopentenyl pyrophosphate:dimethyllallyl pyrophosphate isomerase',1.44505098447181e-11
eucgr.h01394.1.p,_29.2.3_,'protein.synthesis.initiation',8.21697309938994e-13
eucgr.h01399.1.p,_29.5.5_,'protein.degradation.serine protease',9.69914120718688e-13
eucgr.h01417.1.p,_13.2.4.4_,'amino acid metabolism.degradation.branched chain group.leucine',3.85199893355408e-12
eucgr.h01455.3.p,_35.2_,'not assigned.unknown',4.90392695004649e-12
eucgr.h01461.1.p,"_27.3.39_, _31.1_","'RNA.regulation of transcription.AtSR Transcription Factor family', 'cell.organisation'",6.20480443195918e-13
eucgr.h01473.3.p,_31.2_,'cell.division',3.40619299705136e-11
eucgr.h01479.1.p,_27.3.99_,'RNA.regulation of transcription.unclassified',1.41221750752298e-10
eucgr.h01506.2.p,_29.1.4_,'protein.aa activation.leucine-tRNA ligase',2.35057465996677e-12
eucgr.h01524.1.p,_29.2.4_,'protein.synthesis.elongation',7.64035231885001e-12
eucgr.h01602.1.p,_34.2_,'transport.sugars',2.12422934823222e-12
eucgr.h01623.1.p,_29.5.5_,'protein.degradation.serine protease',1.79314734358641e-12
eucgr.h01629.1.p,_21.1_,'redox.thioredoxin',4.03024852156572e-11
eucgr.h01876.2.p,_26.7_,"'misc.oxidases - copper, flavone etc'",1.99776578098668e-11
eucgr.h01877.1.p,_26.7_,"'misc.oxidases - copper, flavone etc'",2.7181588135167e-12
eucgr.h01880.1.p,_26.7_,"'misc.oxidases - copper, flavone etc'",2.82374789180305e-13
eucgr.h01883.1.p,_26.7_,"'misc.oxidases - copper, flavone etc'",1.35995237005961e-12
eucgr.h01941.2.p,_29.8_,'protein.assembly and cofactor ligation',2.3184459968987e-12
eucgr.h01973.1.p,"_17_, _17.5.3_, _26.8_","'hormone metabolism', 'hormone metabolism.ethylene.induced-regulated-responsive-activated', 'misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases'",1.10147663911465e-12
eucgr.h02093.1.p,_35.1_,'not assigned.no ontology',2.86892789256864e-12
eucgr.h02106.1.p,_1.1.1.2_,'PS.lightreaction.photosystem II.PSII polypeptide subunits',1.1687498861207e-12
eucgr.h02295.1.p,_26.1_,'misc.misc2',1.70576010357495e-11
eucgr.h02295.3.p,_26.1_,'misc.misc2',6.77395568370066e-11
eucgr.h02332.2.p,_35.2_,'not assigned.unknown',8.87151466137995e-13
eucgr.h02333.1.p,_35.2_,'not assigned.unknown',5.79140829941052e-12
eucgr.h02340.1.p,_34.1.1.6_,'transport.p- and v-ATPases.H+-transporting two-sector ATPase.subunit H',1.22032979515293e-12
eucgr.h02345.1.p,_29.5_,'protein.degradation',2.89102004668092e-12
eucgr.h02358.3.p,_6.3_,'gluconeogenesis / glyoxylate cycle.Malate DH',2.17645718106306e-10
eucgr.h02370.1.p,_6.3_,'gluconeogenesis / glyoxylate cycle.Malate DH',8.16393580616282e-13
eucgr.h02489.1.p,_35.2_,'not assigned.unknown',1.43430320219363e-12
eucgr.h02531.1.p,_2.2.2.3_,'major CHO metabolism.degradation.starch.glucan water dikinase',4.78593040680764e-12
eucgr.h02550.1.p,_29.3.4.99_,'protein.targeting.secretory pathway.unspecified',1.36594312503474e-12
eucgr.h02584.1.p,"_3.1.1.1_, _3.1.1.2_","'minor CHO metabolism.raffinose family.galactinol synthases.known', 'minor CHO metabolism.raffinose family.galactinol synthases.putative'",6.27170435698874e-12
eucgr.h02588.1.p,_35.1.26_,'not assigned.no ontology.DC1 domain containing protein',3.13912527874069e-12
eucgr.h02589.1.p,_35.1.26_,'not assigned.no ontology.DC1 domain containing protein',6.93947093381144e-12
eucgr.h02590.1.p,_35.1.26_,'not assigned.no ontology.DC1 domain containing protein',5.48601995765791e-12
eucgr.h02592.1.p,_35.1.26_,'not assigned.no ontology.DC1 domain containing protein',1.01226497868333e-11
eucgr.h02593.1.p,_35.1.26_,'not assigned.no ontology.DC1 domain containing protein',1.04135402102091e-12
eucgr.h02605.2.p,_26.7_,"'misc.oxidases - copper, flavone etc'",6.87164152839237e-11
eucgr.h02606.3.p,_27.3.99_,'RNA.regulation of transcription.unclassified',2.27102024597504e-12
eucgr.h02622.1.p,_22.1.6_,'polyamine metabolism.synthesis.spermidine synthase',3.67439584410208e-12
eucgr.h02625.1.p,_16.1.4.2_,'secondary metabolism.isoprenoids.carotenoids.phytoene dehydrogenase',3.01180313052155e-12
eucgr.h02629.2.p,"_29.6_, _31.3.1_","'protein.folding', 'cell.cycle.peptidylprolyl isomerase'",9.86847595755172e-13
eucgr.h02638.1.p,"_17.2.1_, _26.2_","'hormone metabolism.auxin.synthesis-degradation', 'misc.UDP glucosyl and glucoronyl transferases'",1.16883168468033e-12
eucgr.h02641.1.p,"_17.2.1_, _26.2_","'hormone metabolism.auxin.synthesis-degradation', 'misc.UDP glucosyl and glucoronyl transferases'",6.16441794994304e-13
eucgr.h02643.1.p,"_17.2.1_, _26.2_","'hormone metabolism.auxin.synthesis-degradation', 'misc.UDP glucosyl and glucoronyl transferases'",6.91410134703822e-12
eucgr.h02644.1.p,"_17.2.1_, _26.2_","'hormone metabolism.auxin.synthesis-degradation', 'misc.UDP glucosyl and glucoronyl transferases'",1.38039782109548e-12
eucgr.h02649.1.p,_11.1.8_,'lipid metabolism.FA synthesis and FA elongation.acyl coa ligase',3.42667959299421e-12
eucgr.h02650.1.p,_15_,'metal handling',9.76591905443261e-12
eucgr.h02651.2.p,_35.1_,'not assigned.no ontology',4.48306021529017e-12
eucgr.h02678.2.p,_13.2.3.4_,'amino acid metabolism.degradation.aspartate family.methionine',2.90262586155626e-11
eucgr.h02679.1.p,"_1.2.5_, _25.1_","'PS.photorespiration.serine hydroxymethyltransferase', 'C1-metabolism.glycine hydroxymethyltransferase'",1.7864530461162e-11
eucgr.h02706.1.p,_20.1_,'stress.biotic',1.4385886717546e-12
eucgr.h02737.1.p,_29.2.1.2.1.4_,'protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S4',4.2831107862802e-13
eucgr.h02738.1.p,_35.2_,'not assigned.unknown',8.13826428495462e-13
eucgr.h02772.1.p,_27.1.1_,'RNA.processing.splicing',2.68021489371622e-12
eucgr.h02825.1.p,_35.1_,'not assigned.no ontology',2.39255882886819e-12
eucgr.h02826.1.p,_35.1_,'not assigned.no ontology',3.9365069424023e-12
eucgr.h02828.1.p,_16.8.2.1_,'secondary metabolism.flavonoids.chalcones.naringenin-chalcone synthase',5.11841150864383e-12
eucgr.h02832.1.p,_35.1.1_,'not assigned.no ontology.ABC1 family protein',6.88370613974211e-13
eucgr.h02852.1.p,_21.2.2_,'redox.ascorbate and glutathione.glutathione',6.82741762981764e-12
eucgr.h02855.1.p,_26.3_,"'misc.gluco-, galacto- and mannosidases'",2.44066821337099e-12
eucgr.h02859.1.p,_19.1_,'tetrapyrrole synthesis.glu-tRNA synthetase',2.3058216884129e-12
eucgr.h02865.2.p,_35.2_,'not assigned.unknown',1.18969084332363e-11
eucgr.h02866.1.p,_29.6_,'protein.folding',1.63757828275867e-11
eucgr.h02870.1.p,_18.2_,'Co-factor and vitamine metabolism.thiamine',4.83723802813874e-13
eucgr.h02871.2.p,_35.2_,'not assigned.unknown',3.05953956140841e-12
eucgr.h02890.1.p,_35.1_,'not assigned.no ontology',3.48955284768032e-12
eucgr.h02908.9.p,_35.2_,'not assigned.unknown',2.62427234597337e-13
eucgr.h02913.3.p,_16.5.1.1.1.3_,'secondary metabolism.sulfur-containing.glucosinolates.synthesis.aliphatic.methylthioalkylmalate isomerase large subunit (MAM-IL)',7.90946934024485e-12
eucgr.h02940.1.p,_27.1.1_,'RNA.processing.splicing',3.75197466213959e-12
eucgr.h02959.1.p,_29.2.1.2.2.23_,'protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L23',1.2155284938762e-11
eucgr.h02962.1.p,_29.2.3_,'protein.synthesis.initiation',1.37810931566936e-12
eucgr.h02963.1.p,_1.1.40_,'PS.lightreaction.cyclic electron flow-chlororespiration',1.68628048695324e-11
eucgr.h02989.1.p,_16.4.3.1_,'secondary metabolism.N misc.cyanogenic glycosides.cyanase',1.35469551442605e-12
eucgr.h02991.1.p,_1.1.4.8_,'PS.lightreaction.ATP synthase.subunit B (ATPF)',1.09542353091087e-11
eucgr.h02992.3.p,_33.99_,'development.unspecified',1.87552158252015e-12
eucgr.h02995.1.p,_29.2.1.1.1.2.28_,'protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L28',3.22904978339614e-12
eucgr.h03041.1.p,_3.5_,'minor CHO metabolism.others',2.80996632195692e-11
eucgr.h03047.1.p,_8.2.9_,'TCA / org transformation.other organic acid transformatons.cyt MDH',8.16494161651884e-11
eucgr.h03069.2.p,_34.7_,'transport.phosphate',6.11424170549413e-12
